epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4458.15,0.98178,0.87249,1.18212,0.80557,0.83617,0.86139,0.63909,0.95284,0.69982,1.10976,0.00828443,0.00828443,0.00828443
43,4564.45,0.98286,0.86794,1.18094,0.80615,0.83571,0.86237,0.64045,0.95184,0.69842,1.10882,0.00820525,0.00820525,0.00820525
44,4670.88,0.98154,0.86141,1.18127,0.80723,0.83649,0.86296,0.64146,0.95122,0.69715,1.10797,0.00812468,0.00812468,0.00812468
45,4776.83,0.97553,0.86003,1.17889,0.80687,0.83829,0.86366,0.64222,0.95061,0.69573,1.1074,0.00804277,0.00804277,0.00804277
46,4882.88,0.97148,0.85778,1.1782,0.80725,0.83733,0.86335,0.64324,0.94975,0.69416,1.10668,0.00795954,0.00795954,0.00795954
47,4988.75,0.96904,0.84594,1.17553,0.80726,0.83998,0.86367,0.64331,0.94914,0.69326,1.10599,0.00787503,0.00787503,0.00787503
48,5094.41,0.9673,0.85391,1.17268,0.80846,0.83953,0.86401,0.64439,0.94838,0.6917,1.10518,0.00778929,0.00778929,0.00778929
49,5200,0.96845,0.85084,1.17328,0.80913,0.84039,0.86463,0.64503,0.94765,0.69023,1.10465,0.00770234,0.00770234,0.00770234
50,5306.02,0.96534,0.83975,1.16997,0.81257,0.83997,0.86608,0.64592,0.94718,0.68896,1.10422,0.00761423,0.00761423,0.00761423
51,5412.53,0.96226,0.83434,1.16928,0.81258,0.84045,0.86714,0.64672,0.94669,0.68721,1.10377,0.007525,0.007525,0.007525
52,5518.46,0.962,0.8354,1.16654,0.8122,0.84083,0.86771,0.64748,0.94625,0.68588,1.1034,0.00743468,0.00743468,0.00743468
53,5624.68,0.95243,0.82618,1.16408,0.812,0.8415,0.86815,0.64817,0.94557,0.68417,1.10283,0.00734332,0.00734332,0.00734332
54,5730.27,0.95841,0.83023,1.16435,0.81315,0.84177,0.86927,0.64917,0.94498,0.68227,1.10209,0.00725094,0.00725094,0.00725094
55,5835.57,0.95335,0.81889,1.16393,0.81367,0.84367,0.86957,0.64942,0.94457,0.68071,1.10152,0.00715761,0.00715761,0.00715761
56,5940.84,0.95517,0.82351,1.16189,0.81482,0.84472,0.87001,0.65018,0.94413,0.67899,1.10108,0.00706335,0.00706335,0.00706335
57,6047.72,0.94459,0.81491,1.1596,0.81498,0.84409,0.87067,0.65074,0.94348,0.67746,1.10038,0.0069682,0.0069682,0.0069682
58,6153.94,0.94873,0.81612,1.16014,0.81531,0.84463,0.87147,0.65137,0.94283,0.67608,1.09973,0.00687222,0.00687222,0.00687222
